user_id,followers_list
159090275,346426848;210739755;56325215
494120149,1381953745;972532633;19379616;1163967229;1370329748;581299528;1157073098;1368863274;1068828068;1173289080;971862548;1120655828;46775077;525733281;329794347;177633279;361995292;137370532;494037039;605752623;149893981;499297785
186647026,193045025
1145995544,283549035;956904288;117407454;89507852;28775453;1378217570;30709938;572589327;433486563;485505777;1389542826;1292276934;19379616;142598572;120609202;573077367;1120655828;313264829;103506356;201823117;15353074;547957320;1061129772;434837450;299760936;563629676;103261536;1027248156;552753487;166148161;1003304646;36182000;114082221;312307608;232452699;630165516;946392384;235910137
6890532,166148161;40255988;75584215;49014166;21216960;31077839;5661312
637259252,972532633;634420834;1368863274;833728339;492258012;758032711;171626374;746000443;391539340;382217890;1173289080;300395254;610906968;169055522;588968222;137370532;96138456;553401650;51130368;621819206;776797585;114775729;581070678;476098647;177633279;508752598;582116966;868159393;738508316;613664290;361995292;129948456;763178671;302906057;554485198;197063362;616985320
208189540,232452699;1145995544;37642453;312307608
197359781,36182000;91534334;595866006;101202244;607722763;451035305;434837450;464806206;48131824;87377688;54537104;263036313;30921943;249091144;28666886;18601415;47080825;35454634;125207364
562422413,956904288;28775453;1027248156;299760936;992159581;84204116;1057032414;263036313;119876963;550839581;381184790;451035305;464806206;120609202;114675553;434837450;114082221;380841357
378070152,18969131;726156542;630165516;313264829;312307608;1057032414;36182000;308721132;82313419;197063362;30979415
43607022,89507852;43301934;554843376;117407454;1004758482;1292276934;595866006;480535865;956904288;142598572;118122782;946392384;103261536
206125363,235910137;1378217570;433486563;1292276934;394902485;455019965;43523217;630165516;485505777;1004758482;103506356;563629676;1061129772;49728863;114082221;1003304646;50797195;117407454;79221731;36182000;946392384
114775729,444039081;597586397;1368863274;492258012;1068828068;171626374;971862548;1033306567;36191393;568534007;312888560;494037039;391539340;1173289080;554485198;574604672;129948456;572635634;524312432;827430223;302906057;33908285;915287179;340556130;758032711;149893981;215972662;93380599;300395254;476098647;637259252;392165052;868159393;763178671;634420834;177633279;738508316;96138456;510700548;361995292;197063362;526834453;776797585;508752598;137370532;711295860;459880868;746000443;613664290;610906968;616985320;581070678;83206603;455692100;560894263;494120149;493016406;588968222;120609202;494378249;169055522;553401650
359422134,17420789;263036313;142598572;946392384;478657425;1004758482;276901578;1064244859;36182000;1057032414
461826069,137370532;85040540;171626374;361995292;5610642;344592915;459880868;106686430
